Code,Month,Amount,PaidDate,Method,Status,Note
VI-001,2026-02,500,2026-02-03,UPI,Paid,
VI-002,2026-02,1000,2026-02-06,UPI,Paid,
VI-003,2026-02,200,2026-02-09,UPI,Paid,
VI-004,2026-02,100,2026-02-12,Cash,Paid,
VI-001,2026-03,500,2026-03-04,UPI,Paid,
VI-002,2026-03,1000,2026-03-07,UPI,Paid,
VI-003,2026-03,200,2026-03-10,Cash,Paid,
VI-004,2026-03,100,2026-03-13,Bank,Paid,
VI-005,2026-03,500,2026-03-16,UPI,Paid,
VI-006,2026-03,300,2026-03-05,UPI,Paid,
VI-007,2026-03,2000,2026-03-08,UPI,Paid,
VI-001,2026-04,500,2026-04-05,UPI,Paid,
VI-002,2026-04,1000,2026-04-08,Cash,Paid,
VI-003,2026-04,200,2026-04-11,Bank,Paid,
VI-004,2026-04,100,2026-04-14,UPI,Paid,
VI-005,2026-04,500,2026-04-03,UPI,Paid,
VI-006,2026-04,300,2026-04-06,UPI,Paid,
VI-007,2026-04,2000,2026-04-09,Cash,Paid,
VI-008,2026-04,150,2026-04-12,Bank,Paid,
VI-009,2026-04,500,2026-04-15,UPI,Paid,
VI-001,2026-05,500,2026-05-06,Cash,Paid,
VI-002,2026-05,1000,2026-05-09,Bank,Paid,
VI-003,2026-05,200,2026-05-12,UPI,Paid,
VI-004,2026-05,100,2026-05-15,UPI,Paid,
VI-005,2026-05,500,2026-05-04,UPI,Paid,
VI-006,2026-05,300,2026-05-07,Cash,Paid,
VI-007,2026-05,2000,2026-05-10,Bank,Paid,
VI-008,2026-05,150,2026-05-13,UPI,Paid,
VI-009,2026-05,500,2026-05-16,UPI,Paid,
VI-010,2026-05,1000,2026-05-05,UPI,Paid,
VI-001,2026-06,500,2026-06-07,Bank,Paid,
VI-002,2026-06,1000,2026-06-10,UPI,Paid,
VI-003,2026-06,200,2026-06-13,UPI,Paid,
VI-004,2026-06,100,2026-06-16,UPI,Paid,
VI-005,2026-06,500,2026-06-05,Cash,Paid,
VI-006,2026-06,300,2026-06-08,Bank,Paid,
VI-007,2026-06,2000,2026-06-11,UPI,Paid,
VI-008,2026-06,150,2026-06-14,UPI,Paid,
VI-009,2026-06,500,2026-06-03,UPI,Paid,
VI-010,2026-06,1000,2026-06-06,Cash,Paid,
VI-011,2026-06,250,2026-06-09,Bank,Paid,
VI-001,2026-07,500,2026-07-08,UPI,Paid,
VI-002,2026-07,1000,2026-07-11,UPI,Paid,
VI-003,2026-07,200,2026-07-14,UPI,Paid,
VI-004,2026-07,100,2026-07-03,Cash,Paid,
VI-005,2026-07,500,2026-07-06,Bank,Paid,
VI-006,2026-07,300,2026-07-09,UPI,Paid,
VI-007,2026-07,2000,2026-07-12,UPI,Paid,
VI-008,2026-07,150,2026-07-15,UPI,Paid,
VI-009,2026-07,500,2026-07-04,Cash,Paid,
VI-010,2026-07,1000,2026-07-07,Bank,Paid,
VI-011,2026-07,250,2026-07-10,UPI,Paid,
VI-012,2026-07,500,2026-07-13,UPI,Paid,
VI-001,2026-08,500,2026-08-09,UPI,Paid,
VI-002,2026-08,1000,2026-08-12,UPI,Paid,
VI-003,2026-08,200,2026-08-15,Cash,Paid,
VI-004,2026-08,100,2026-08-04,Bank,Pending,
VI-005,2026-08,500,2026-08-07,UPI,Paid,
VI-006,2026-08,300,2026-08-10,UPI,Paid,
VI-007,2026-08,2000,2026-08-13,UPI,Paid,
VI-008,2026-08,150,2026-08-16,Cash,Paid,
VI-009,2026-08,500,2026-08-05,Bank,Paid,
VI-010,2026-08,1000,2026-08-08,UPI,Paid,
VI-011,2026-08,250,2026-08-11,UPI,Pending,
VI-012,2026-08,500,2026-08-14,UPI,Paid,
