Date,Month,Category,Beneficiary,Amount,Description
2026-02-23,2026-02,School fees,ST-01,2500,Class 9 term fee
2026-02-23,2026-02,Notebooks & bag,ST-02,900,Stationery kit
2026-03-24,2026-03,School fees,ST-03,3000,Class 11 term fee
2026-03-24,2026-03,Bus pass,ST-01,450,Quarterly bus pass
2026-04-22,2026-04,Tuition fee,ST-04,1800,Maths & Science tuition
2026-05-22,2026-05,College application,ST-05,1200,Counselling registration
2026-05-22,2026-05,Uniform,ST-02,1400,Two sets of uniform
2026-06-20,2026-06,School fees,ST-06,2600,Class 8 term fee
2026-06-20,2026-06,Books,ST-03,1100,Guide books
2026-07-19,2026-07,Laptop repair,ST-05,2200,For online classes
2026-08-18,2026-08,School fees,ST-07,3200,Class 12 term fee
